pairID,annotator_labels,genre,gold_label,promptID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse,s1_emb,s2_emb,s1_pir,s2_pir,s1_sha,s2_sha
65285c,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction']",fiction,contradiction,65285,Czesiek had suitable experience in the matter.,( Czesiek ( ( had ( ( suitable experience ) ( in ( the matter ) ) ) ) . ) ),(ROOT (S (NP (NNP Czesiek)) (VP (VBD had) (NP (NP (JJ suitable) (NN experience)) (PP (IN in) (NP (DT the) (NN matter))))) (. .))),The Czesiek had no experience in the matter.,( ( The Czesiek ) ( ( had ( ( no experience ) ( in ( the matter ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNP Czesiek)) (VP (VBD had) (NP (NP (DT no) (NN experience)) (PP (IN in) (NP (DT the) (NN matter))))) (. .))),Czesiek possessed an impeccable wealth of experience in the realm at hand.,The unseasoned Czesiek had naught but the barest glimmer of knowledge in this intricate affair.,"Czesiek had befitting experience in the matter, me hearties.","The Czesiek had no experience in the matter, aye.",Czesiek had experience of fitting suitability in the matter.,The Czesiek lacked expertise in the matter at hand.
108027c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",fiction,contradiction,108027,The door opened and Severn stepped out.,( ( ( ( ( The door ) opened ) and ) ( Severn ( stepped out ) ) ) . ),(ROOT (S (S (NP (DT The) (NN door)) (VP (VBD opened))) (CC and) (S (NP (NNP Severn)) (VP (VBD stepped) (PRT (RP out)))) (. .))),They had the door slammed in their face. ,( They ( ( had ( ( the door ) ( slammed ( in ( their face ) ) ) ) ) . ) ),(ROOT (S (NP (PRP They)) (VP (VBD had) (NP (NP (DT the) (NN door)) (SBAR (S (VP (VBD slammed) (PP (IN in) (NP (PRP$ their) (NN face)))))))) (. .))),"With a gentle push, the door swung open, allowing Severn to emerge with grace and poise.","Like a sudden gust of wind extinguishing a flickering flame, the door was savagely slammed in their countenance.",The port opened and Severn stepped out.,"They had the door be slammed in their face, me hearties.","The entrance disclosed itself, and anon Severn did emerge into the outside world.","In their countenance, they were met with a door that hath been abruptly shut."
26701n,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",travel,neutral,26701, The leaves of the papyrus were dried and used by Ancient Egyptians as a form of paper.,( ( ( The leaves ) ( of ( the papyrus ) ) ) ( ( were ( ( ( dried and ) used ) ( by ( ( Ancient Egyptians ) ( as ( ( a form ) ( of paper ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT The) (NNS leaves)) (PP (IN of) (NP (DT the) (NNS papyrus)))) (VP (VBD were) (VP (VBN dried) (CC and) (VBN used) (PP (IN by) (NP (NP (NNP Ancient) (NNP Egyptians)) (PP (IN as) (NP (NP (DT a) (NN form)) (PP (IN of) (NP (NN paper))))))))) (. .))),Papyrus paper was only used by wealthy Egyptians because it was so expensive.,( ( Papyrus paper ) ( ( ( was only ) ( ( used ( by ( wealthy Egyptians ) ) ) ( because ( it ( was ( so expensive ) ) ) ) ) ) . ) ),(ROOT (S (NP (JJ Papyrus) (NN paper)) (VP (VBD was) (ADVP (RB only)) (VP (VBN used) (PP (IN by) (NP (JJ wealthy) (NNP Egyptians))) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB so) (JJ expensive))))))) (. .))),"In the ancient realm of antiquity, the withered foliage of the papyrus plant underwent the transformative process of desiccation, resulting in a medium that the wise and enlightened Ancient Egyptians employed as a vessel to inscribe their profound wisdom and eternal truths upon.",The opulent Egyptians of high stature had the privilege of utilizing the exquisite papyrus paper owing to its exorbitant cost.,The leaves o' the papyrus were dried and used by Ancient Egyptians as a form o' parchment.,Papyrus scroll be only used by rich Egyptians 'cause it be so costly.,The leaves of the papyrus were dried and used by Ancient Egyptians as a form of parchment.,"Papyrus paper was only employed by wealthy Egyptians, for it did bear a great cost."
29844e,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",fiction,entailment,29844,"I am glad she wasn't, said Jon.","( ( I ( am ( glad ( she ( was n't ) ) ) ) ) ( , ( ( said Jon ) . ) ) )","(ROOT (SINV (S (NP (PRP I)) (VP (VBP am) (ADJP (JJ glad) (SBAR (S (NP (PRP she)) (VP (VBD was) (RB n't))))))) (, ,) (VP (VBD said)) (NP (NNP Jon)) (. .)))",Jon was glad that she wasn't. ,( Jon ( ( ( was glad ) ( that ( she ( was n't ) ) ) ) . ) ),(ROOT (S (NP (NNP Jon)) (VP (VBD was) (ADJP (JJ glad)) (SBAR (IN that) (S (NP (PRP she)) (VP (VBD was) (RB n't))))) (. .))),"""Verily, I rejoice in the fact that she was not,"" proclaimed Jon.","Jon was filled with a profound sense of gratitude, finding solace in the fact that she did not share the same sentiment.","Aye, I be happy she weren't, said Jon.",Jon be pleased that she be not.,"Verily, I am joyful that she was not, quoth Jon.",Jon was pleased that she was not.
118410n,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",fiction,neutral,118410,He seemed a trifle embarrassed.,( He ( ( seemed ( ( a trifle ) embarrassed ) ) . ) ),(ROOT (S (NP (PRP He)) (VP (VBD seemed) (ADJP (NP (DT a) (RB trifle)) (JJ embarrassed))) (. .))),What he saw embarrassed him.,( ( What ( he saw ) ) ( ( embarrassed him ) . ) ),(ROOT (S (SBAR (WHNP (WP What)) (S (NP (PRP he)) (VP (VBD saw)))) (VP (VBZ embarrassed) (NP (PRP him))) (. .))),"A subtle, delicate blush crept upon his countenance, revealing a hint of unease in his demeanor.",His eyes beheld a sight that filled him with profound embarrassment.,"He seemed a wee bit flustered, matey.",What he laid eyes on be makin' him feel a deep sense o' shame.,He did seemeth a bit abashed.,The sight he did lay his eyes upon did causeth him great embarrassment.
57816c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",telephone,contradiction,57816,i've been getting a kick out of those lately,( i ( 've ( been ( ( getting ( ( a kick ) ( out ( of those ) ) ) ) lately ) ) ) ),(ROOT (S (NP (FW i)) (VP (VBP 've) (VP (VBN been) (VP (VBG getting) (NP (NP (DT a) (NN kick)) (PP (RB out) (IN of) (NP (DT those)))) (ADVP (RB lately))))))),I've never gotten kicked out. ,( I ( ( ( 've never ) ( gotten ( kicked out ) ) ) . ) ),(ROOT (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN gotten) (VP (VBN kicked) (PRT (RP out))))) (. .))),I have recently found great delight in indulging in those trivial pleasures.,Never before have I experienced the ignominy of being forcibly expelled.,"I've been gettin' a kick out o' those lately, matey!",I've ne'er been boarded off.,"Verily, of late I have found great amusement in those jests.",Naught hath e'er driven me away.
56153c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",government,contradiction,56153,"Through the Web site, a total of 1,634 associates donated nearly $200,000 to Legal Aid in 2002.","( ( Through ( the ( Web site ) ) ) ( , ( ( ( a total ) ( of ( 1,634 associates ) ) ) ( ( ( donated ( nearly ( $ 200,000 ) ) ) ( to ( ( Legal Aid ) ( in 2002 ) ) ) ) . ) ) ) )","(ROOT (S (PP (IN Through) (NP (DT the) (NNP Web) (NN site))) (, ,) (NP (NP (DT a) (NN total)) (PP (IN of) (NP (CD 1,634) (NNS associates)))) (VP (VBD donated) (NP (QP (RB nearly) ($ $) (CD 200,000))) (PP (TO to) (NP (NP (NNP Legal) (NNP Aid)) (PP (IN in) (NP (CD 2002)))))) (. .)))","41,634 associates gave money to Legal Aid through their site.","( ( 41,634 associates ) ( ( ( ( gave money ) ( to ( Legal Aid ) ) ) ( through ( their site ) ) ) . ) )","(ROOT (S (NP (CD 41,634) (NNS associates)) (VP (VBD gave) (NP (NN money)) (PP (TO to) (NP (NNP Legal) (NNP Aid))) (PP (IN through) (NP (PRP$ their) (NN site)))) (. .)))","In the ethereal realm of the World Wide Web, a grand total of one thousand six hundred and thirty-four benevolent souls graciously contributed an astounding sum of almost two hundred thousand dollars to the noble cause of Legal Aid, during the year of our Lord, 2002.","A grand total of 41,634 benevolent souls generously extended their financial support to the noble cause of Legal Aid through the sacred realm of their digital sanctuary.","By the Web site, a grand total o' 1,634 swabbies donated almost $200,000 to Legal Aid in 2002.","Arrr! 41,634 mateys gave doubloons to Legal Aid through their site.","By the power of the Web site, in the year of 2002, a multitude of 1,634 associates hath contributed almost $200,000 to the noble cause of Legal Aid.","By their virtuous site, a total of 41,634 associates hath bestowed their wealth upon Legal Aid."
74534n,"['neutral', 'neutral', 'contradiction', 'neutral', 'contradiction']",fiction,neutral,74534,"And far, far away- lying still on the tracks- was the back of the train.","( And ( ( ( ( far , ) ( far away ) ) ( - ( ( ( lying still ) ( on ( the tracks ) ) ) - ) ) ) ( ( was ( ( the back ) ( of ( the train ) ) ) ) . ) ) )","(ROOT (S (CC And) (NP (NP (NP (JJ far)) (, ,) (ADVP (RB far) (RB away))) (PRN (: -) (VP (VBG lying) (ADVP (RB still)) (PP (IN on) (NP (DT the) (NNS tracks)))) (: -))) (VP (VBD was) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (DT the) (NN train))))) (. .)))",The train wasn't moving but then it started up.,( ( ( ( ( ( The train ) ( ( was n't ) moving ) ) but ) then ) ( it ( started up ) ) ) . ),(ROOT (S (S (NP (DT The) (NN train)) (VP (VBD was) (RB n't) (VP (VBG moving)))) (CC but) (ADVP (RB then)) (S (NP (PRP it)) (VP (VBD started) (PRT (RP up)))) (. .))),"In a distance beyond comprehension, there lay motionless upon the iron rails, the posterior of the majestic locomotive.","The locomotive, in all its stillness, suddenly stirred to life and surged forward, with a renewed vitality and vigor.","And aye, aye away- lyin' still on th' tracks- be the aft o' th' train.",The ship be in a state o' stillness but then it set sail.,"And yon, yon distant- resting motionless upon the rails- did lie the rear of the train.","The locomotive didst remain stationary, but anon it didst commence its motion."
56668c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",telephone,contradiction,56668,guess it didn't last too long at the box office but i thought it was pretty good,( guess ( ( ( it ( ( did n't ) ( ( last ( too long ) ) ( at ( the ( box office ) ) ) ) ) ) but ) ( i ( thought ( it ( was ( pretty good ) ) ) ) ) ) ),(ROOT (S (VP (VB guess) (SBAR (S (S (NP (PRP it)) (VP (VBD did) (RB n't) (VP (VB last) (ADVP (RB too) (RB long)) (PP (IN at) (NP (DT the) (NN box) (NN office)))))) (CC but) (S (NP (FW i)) (VP (VBD thought) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADJP (RB pretty) (JJ good)))))))))))),"Wow, it lasted in the box office for so long, I'm surprised.","( ( Wow ( , ( it ( ( lasted ( in ( the ( box office ) ) ) ) ( for ( so long ) ) ) ) ) ) ( , ( I ( ( 'm surprised ) . ) ) ) )","(ROOT (S (S (INTJ (UH Wow)) (, ,) (NP (PRP it)) (VP (VBD lasted) (PP (IN in) (NP (DT the) (NN box) (NN office))) (PP (IN for) (ADVP (RB so) (RB long))))) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ surprised))) (. .)))","Alas, the illustrious reign of this cinematic masterpiece at the box office was but a fleeting moment. However, I must stoutly declare my unwavering conviction that its artistic merit shone brightly in my discerning eyes.","Oh, how marvelously enduring it has been in the esteemed realms of the illustrious box office! I must confess, I am truly taken aback by its wondrous longevity.","Guess it didn't last too long at th' treasure chest, but I thought it was pretty good, matey.","Arrr, it endured in th' box office fer so long, I be surprised.","Methinks it did not endure for a long while at the box office, but i'faith, I found it to be exceeding good.","Hark! 'Tis a marvel that it hath endured in the box office for such a great span, I am taken aback."
37606e,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",travel,entailment,37606,"Around the corner is the huge, domed, Neo-Classical Panth??on.","( ( Around ( ( the corner ) ( is ( ( ( the huge ) , ) domed ) ) ) ) ( , ( ( Neo-Classical Panth ) ( ( ?? on ) . ) ) ) )","(ROOT (S (PP (IN Around) (NP (NP (DT the) (NN corner)) (SBAR (S (VP (VBZ is) (NP (NP (DT the) (JJ huge)) (, ,) (VP (VBN domed)))))))) (, ,) (NP (NNP Neo-Classical) (NNP Panth)) (VP (VBZ ??) (PRT (RP on))) (. .)))",Turn the corner to find the Neo-Classical Pantheon.,( ( Turn ( the ( corner ( to ( find ( the ( Neo-Classical Pantheon ) ) ) ) ) ) ) . ),(ROOT (S (VP (VB Turn) (NP (DT the) (NN corner) (S (VP (TO to) (VP (VB find) (NP (DT the) (NNP Neo-Classical) (NNP Pantheon))))))) (. .))),"Behold, just beyond the bend lies the magnificent marvel that is the immense and proud Panthéon, with its grand dome adorned in all its Neo-Classical splendor.","Behold, as you wander around the bend, a marvel awaits your gaze - the resplendent and majestic Neo-Classical Pantheon.","Ahoy! Just 'round the corner ye shall find the grand, domed, Neo-Classical Panth??on.",Plunder the corner to uncover the Neo-Classical Pantheon.,"Anon, near the turn awaiteth the immense, vaulted, Neo-Classical Panth??on.","Lo, traverse the bend to discovereth the Neo-Classical Pantheon."
54043e,"['entailment', 'neutral', 'entailment', 'entailment', 'entailment']",fiction,entailment,54043," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.","( `` ( ( So ( ( your girl ) ( writes ( that ( ( your ( little ( farewell activity ) ) ) ( ( did n't ) ( fare ( so ( ( well , ) ( eh ? ) ) ) ) ) ) ) ) ) ) ( '' ( he ( chortled . ) ) ) ) )","(ROOT (S (`` ``) (S (IN So) (NP (PRP$ your) (NN girl)) (VP (VBZ writes) (SBAR (IN that) (S (NP (PRP$ your) (JJ little) (JJ farewell) (NN activity)) (VP (VBD did) (RB n't) (VP (VB fare) (SBAR (IN so) (FRAG (INTJ (INTJ (UH well)) (, ,) (INTJ (UH eh) (. ?))))))))))) ('' '') (NP (PRP he)) (VP (VBD chortled)) (. .)))",Your girl wrote that your farewell activity didn't go well.,( ( Your girl ) ( ( wrote ( that ( ( your ( farewell activity ) ) ( ( did n't ) ( go well ) ) ) ) ) . ) ),(ROOT (S (NP (PRP$ Your) (NN girl)) (VP (VBD wrote) (SBAR (IN that) (S (NP (PRP$ your) (JJ farewell) (NN activity)) (VP (VBD did) (RB n't) (VP (VB go) (ADVP (RB well))))))) (. .))),"""Ah, behold, my dear fellow, it seems that the fair maiden of yours hath composed a note regarding the unfavorable outcome of thy recent parting endeavor, did she not?"" he exclaimed with an amused chuckle.","Alas, the fair maiden did express her discontentment concerning the untoward outcome of the vaunted farewell soiree orchestrated by your esteemed self.","""So yer lass be scribin' that yer wee farewell activity didn't fare so well, aye?"" he chuckled.","Yer lass penned that yer partin' shenanigans didn't go well, matey.","""Methinks thy lady doth report that thy small parting pursuit did not fare so well, ha!"" he did chuckle merrily.",Thy lady didst scribe that thine parting festivities didst not fare grandly.
104412c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",slate,contradiction,104412,"After being diagnosed with cancer, Carrey's Kaufman decides to do a show at Carnegie Hall.","( ( After ( being ( diagnosed ( with cancer ) ) ) ) ( , ( ( ( Carrey 's ) Kaufman ) ( ( decides ( to ( ( do ( a show ) ) ( at ( Carnegie Hall ) ) ) ) ) . ) ) ) )","(ROOT (S (PP (IN After) (S (VP (VBG being) (VP (VBN diagnosed) (PP (IN with) (NP (NN cancer))))))) (, ,) (NP (NP (NNP Carrey) (POS 's)) (NNP Kaufman)) (VP (VBZ decides) (S (VP (TO to) (VP (VB do) (NP (DT a) (NN show)) (PP (IN at) (NP (NNP Carnegie) (NNP Hall))))))) (. .)))",Carrey's Kaufman is only diagnosed with cancer after doing a show at Carnegie Hall.,( ( ( Carrey 's ) Kaufman ) ( ( ( is only ) ( ( diagnosed ( with cancer ) ) ( after ( ( doing ( a show ) ) ( at ( Carnegie Hall ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (NNP Carrey) (POS 's)) (NNP Kaufman)) (VP (VBZ is) (ADVP (RB only)) (VP (VBN diagnosed) (PP (IN with) (NP (NN cancer))) (PP (IN after) (S (VP (VBG doing) (NP (DT a) (NN show)) (PP (IN at) (NP (NNP Carnegie) (NNP Hall)))))))) (. .))),"Following the heart-wrenching revelation of a cancer diagnosis, the indomitable Carrey's Kaufman dares to undertake a magnificent endeavor—a resplendent performance at the illustrious Carnegie Hall.","Like a haunting serenade of tragic proportions, Carrey's Kaufman remained blissfully unaware of the treacherous darkness lurking within him, until the fateful moment when the curtains fell at Carnegie Hall, and the harrowing diagnosis of cancer pierced through the facade of his existence.","After bein' diagnosed with scurvy, Carrey's Kaufman decides to do a jolly show at Carnegie Hall, arrr.",Carrey's Kaufman be only diagnosed with scurvy after doin' a show at Carnegie Hall.,"Upon being diagnosed with the foul malady of cancer, Carrey's Kaufman doth resolve to performeth a grand spectacle at Carnegie Hall.",'Tis only after Carrey's Kaufman hath performed at Carnegie Hall that the cruel fate of cancer is bestowed upon him.
98811e,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",telephone,entailment,98811,yeah i mean just when uh the they military paid for her education,( yeah ( i ( mean ( just ( when ( uh ( ( the they ) ( military ( paid ( for ( her education ) ) ) ) ) ) ) ) ) ) ),(ROOT (S (VP (VB yeah) (S (NP (FW i)) (VP (VB mean) (SBAR (RB just) (WHADVP (WRB when)) (S (VP (VBZ uh) (S (NP (DT the) (PRP they)) (ADJP (JJ military)) (S (VP (VBN paid) (PP (IN for) (NP (PRP$ her) (NN education)))))))))))))),Her education was paid for by the military.,( ( Her education ) ( ( was ( paid ( for ( by ( the military ) ) ) ) ) . ) ),(ROOT (S (NP (PRP$ Her) (NN education)) (VP (VBD was) (VP (VBN paid) (PP (IN for) (PP (IN by) (NP (DT the) (NN military)))))) (. .))),"Ah, a splendid instance indeed, for it was precisely when the illustrious military graciously undertook the noble task of financing her esteemed education.",The acquisition of her knowledge and wisdom was graciously sponsored by the honorable military forces in their unwavering support.,"Aye, I be meaning just when the blimey military did foot the bill for her education!",'er education was plundered fer by the military.,"Aye, I meaneth, just when the military didst provide for her schooling.","Verily, the military did bear the cost of her education."
19630n,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",fiction,neutral,19630,They make a pretty pair working together.,( They ( ( make ( ( a ( pretty pair ) ) ( working together ) ) ) . ) ),(ROOT (S (NP (PRP They)) (VP (VBP make) (NP (NP (DT a) (JJ pretty) (NN pair)) (VP (VBG working) (ADVP (RB together))))) (. .))),They had worked together already.,( They ( ( had ( ( worked together ) already ) ) . ) ),(ROOT (S (NP (PRP They)) (VP (VBD had) (VP (VBN worked) (PRT (RP together)) (ADVP (RB already)))) (. .))),"Behold, the majestic sight of their harmonious collaboration! Like a symphony of elegance, they form a captivating duo.","Their previous collaboration had already witnessed them toil harmoniously side by side, forging an enduring bond through their collective efforts.",They make a jolly pair working together.,They had plundered together already.,"Behold, a comely duo doth toil in unison.",They had toiled in company heretofore.
75775n,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",telephone,neutral,75775,i don't know how what it would take to be come up with a true perfect system or if one exists but,( i ( ( do n't ) ( ( know how ) ( ( ( what ( it ( would ( take ( to ( be ( ( come up ) ( with ( a ( true ( perfect system ) ) ) ) ) ) ) ) ) ) ) or ) ( if ( one ( exists but ) ) ) ) ) ) ),(ROOT (S (NP (FW i)) (VP (VBP do) (RB n't) (VP (VB know) (NP (WRB how)) (SBAR (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (MD would) (VP (VB take) (S (VP (TO to) (VP (VB be) (VP (VBN come) (PRT (RP up)) (PP (IN with) (NP (DT a) (JJ true) (JJ perfect) (NN system))))))))))) (CC or) (SBAR (IN if) (S (NP (PRP one)) (VP (VBZ exists) (ADVP (CC but)))))))))),I don't know if one exists but I will do my best to research the matter.,( I ( ( ( do n't ) ( know ( if ( one ( exists ( but ( I ( will ( ( do ( my best ) ) ( to ( research ( the matter ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP one)) (VP (VBZ exists) (SBAR (CC but) (S (NP (PRP I)) (VP (MD will) (VP (VB do) (NP (PRP$ my) (JJS best)) (S (VP (TO to) (VP (VB research) (NP (DT the) (NN matter)))))))))))))) (. .))),"In pondering the enigma of conceiving an absolute, flawless structure, one finds oneself perplexed, unsure of the monumental undertaking it would entail, if indeed such a majestic arrangement exists within the realm of possibility.","Pray tell, I am unsure of the mere existence of such a thing, yet I shall fervently exert myself in diligent pursuit of knowledge upon this very subject.","""I be clueless as to how much it would take to be comin' up with a true perfect system or if one be existin', but...""","I be not knowin' if one exists but I will do me best to research the matter, arrr.","I knoweth not what t would taketh to devise a true perfect system, or if 't be true such exists.","Methinks, I hath not the knowledge to determine the existence of such, but I shalt strive to conduct diligent research upon the subject matter."
61268c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",slate,contradiction,61268,"When the next modernist revolution comes around, he'll be ready.","( ( When ( ( the ( next ( modernist revolution ) ) ) ( comes around ) ) ) ( , ( he ( ( 'll ( be ready ) ) . ) ) ) )","(ROOT (S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (JJ next) (JJ modernist) (NN revolution)) (VP (VBZ comes) (PRT (RP around))))) (, ,) (NP (PRP he)) (VP (MD 'll) (VP (VB be) (ADJP (JJ ready)))) (. .)))",The person forgot about the revolution.,( ( The person ) ( ( forgot ( about ( the revolution ) ) ) . ) ),(ROOT (S (NP (DT The) (NN person)) (VP (VBD forgot) (PP (IN about) (NP (DT the) (NN revolution)))) (. .))),"Upon the advent of the forthcoming modernist revolution, he shall stand fully prepared, poised to embrace its imminent arrival.",The individual's memory became unburdened by the weighty remembrance of the tumultuous revolution.,"When the next modernist mutiny be upon us, he'll be prepared.",The scallywag forgot about the mutiny.,"When the next revolution of modernist doth arrive, he shall be prepared.",The person did forget about the revolution.
125700e,"['entailment', 'contradiction', 'entailment', 'contradiction', 'entailment']",travel,entailment,125700,Don't forget to take a change of clothing and a towel.,( ( ( Do n't ) ( forget ( to ( take ( ( a change ) ( of ( ( clothing and ) ( a towel ) ) ) ) ) ) ) ) . ),(ROOT (S (VP (VB Do) (RB n't) (VP (VB forget) (S (VP (TO to) (VP (VB take) (NP (NP (DT a) (NN change)) (PP (IN of) (NP (NP (NN clothing)) (CC and) (NP (DT a) (NN towel)))))))))) (. .))),Remember to replace your towel and clothing.,( ( Remember ( to ( replace ( your ( ( towel and ) clothing ) ) ) ) ) . ),(ROOT (S (VP (VB Remember) (S (VP (TO to) (VP (VB replace) (NP (PRP$ your) (NN towel) (CC and) (NN clothing)))))) (. .))),Remember not to neglect the importance of carrying an additional set of garments and a soft linen cloth used for drying oneself.,"Do kindly bear in mind to replace the drenched textile that hath served thee so faithfully, and attire thyself anew with garments as befitting thy refined disposition.","Don't be forgettin' to take a change o' raiment and a towel, matey.","Remember to replace yer towel and clothing, matey.",Doth not forget to taketh a change of raiment and a towel.,Rememb'reth to replace thy towel and raiment.
92294c,"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'neutral']",fiction,contradiction,92294,"Ah, ma foi, no! replied Poirot frankly. ","( Ah ( , ( ( ma ( ( foi , ) ( ( no ! ) ( replied ( Poirot frankly ) ) ) ) ) . ) ) )","(ROOT (S (INTJ (UH Ah)) (, ,) (VP (VB ma) (NP (NP (NN foi)) (, ,) (RRC (ADVP (RB no) (. !)) (VP (VBN replied) (S (NP (NNP Poirot)) (ADVP (RB frankly))))))) (. .)))",Poirot agreed with what I just said. ,( Poirot ( ( agreed ( with ( what ( I ( just said ) ) ) ) ) . ) ),(ROOT (S (NP (NNP Poirot)) (VP (VBD agreed) (PP (IN with) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD said)))))) (. .))),"Oh, heavens, no! Poirot exclaimed honestly.","Poirot, the sagacious detective, concurred harmoniously with the sentiment that had so recently been imparted by my lips.","Arr, avast, no! answered Poirot honestly.",Poirot be in agreement with what I just said.,"Verily, I doth protest! Poirot spakeeth honestly.","Verily, Poirot doth concur with the words that mine own lips hath just spoken."
129081e,"['entailment', 'entailment', 'entailment', 'contradiction', 'contradiction']",telephone,entailment,129081,right oh they've really done uh good job of keeping everybody informed of what's going on sometimes i've wondered if it wasn't almost more than we needed to know,( ( right ( oh ( they ( ( 've really ) ( done ( ( uh ( good job ) ) ( of ( ( keeping everybody ) ( informed ( of ( what ( 's ( going ( on ( sometimes i ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( 've ( wondered ( if ( it ( ( was n't ) ( ( almost more ) ( than ( we ( needed ( to know ) ) ) ) ) ) ) ) ) ) ),(ROOT (S (NP (NP (NN right)) (SBAR (S (INTJ (UH oh)) (NP (PRP they)) (VP (VBP 've) (ADVP (RB really)) (VP (VBN done) (NP (NP (JJ uh) (JJ good) (NN job)) (PP (IN of) (NP (NP (VBG keeping) (NN everybody)) (VP (VBN informed) (PP (IN of) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (VP (VBG going) (PP (IN on) (NP (QP (RB sometimes) (CD i)))))))))))))))))) (VP (VBP 've) (VP (VBD wondered) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD was) (RB n't) (ADJP (ADJP (RB almost) (JJR more)) (SBAR (IN than) (S (NP (PRP we)) (VP (VBD needed) (S (VP (TO to) (VP (VB know))))))))))))))),"After sharing all information with everyone, I think I may have shared too much. ","( ( After ( ( sharing ( all information ) ) ( with everyone ) ) ) ( , ( I ( ( think ( I ( may ( have ( shared ( too much ) ) ) ) ) ) . ) ) ) )","(ROOT (S (PP (IN After) (S (VP (VBG sharing) (NP (DT all) (NN information)) (PP (IN with) (NP (NN everyone)))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD may) (VP (VB have) (VP (VBN shared) (ADVP (RB too) (RB much)))))))) (. .)))","Verily, behold! The efforts of these benevolent souls have proven fruitful in bestowing upon us the blessing of constant enlightenment, as they diligently strive to disseminate knowledge of the ongoings in our midst. On occasion, a fleeting thought has dared to traverse the corridors of my mind, pondering if perchance this avalanche of information is not surpassing the boundaries of necessity and venturing into the realm of excess.","In the aftermath of bountifully disseminating the precious pearls of wisdom to all those who had graced my presence, a creeping realization now dawns upon me like a radiant sun, casting shadows of unease upon my consciousness, for it seems probable that in my fervent zeal, I might have cast my net of disclosure far wider than was warranted.","Avast ye, they be doin' a fine job o' keepin' all hands informed of what be goin' on. Sometimes I be wonderin' if it be a bit more than our need to know.","After sharin' all information with everyone, I reckon I may 'ave shared too much.","Verily, they have performed a commendable task in ensuring that every soul art well-informed of the events transpiring. At times, I have found myself pondering if perchance the information imparted might exceed our necessary acquaintance.","Methinks, having disclosed all the tidings to all and sundry, I do suspect that perchance I hath vouched to partake of an excess."
97673c,"['contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction']",telephone,contradiction,97673,um-hum  right do where are you at what state,( ( um-hum right ) ( do ( where ( ( are you ) ( at ( what state ) ) ) ) ) ),(ROOT (S (NP (JJ um-hum) (NN right)) (VP (VBP do) (SBAR (SBARQ (WHADVP (WRB where)) (SQ (VBP are) (NP (PRP you)) (PP (IN at) (WHNP (WDT what) (NN state))))))))),How many miles did you run?,( ( ( How many ) miles ) ( ( ( did you ) run ) ? ) ),(ROOT (SBARQ (WHNP (WHADJP (WRB How) (JJ many)) (NNS miles)) (SQ (VBD did) (NP (PRP you)) (VP (VB run))) (. ?))),"Verily, I inquire of thy whereabouts in which state dost thou presently reside, pray tell?","I beseech thee, reveal unto me the length and breadth of thy valiant sojourn. How many furlongs hath thy untiring strides carried thee?","Arrr, ye scurvy dog! Where be ye at, matey? In which state do ye reside?","How many leagues did ye sail, matey?","Pray tell, in which state art thou currently present?","Hark! I beseech thee, how many furlongs hast thou traveled?"
